,waterGoal,designYears,waterPercent,asteroidDensity,excavationMaterialDensity,excavationMaterialThickness,excavationNumScoops,excavationVolumeFactor,excvationMassA0,excavationMassFactor,excavationShape,excavationTime,asteroidCp,processStartTemp,processEndTemp,processEnthalpy,solarPanelEfficiency,solarPanelEnergyDensity,solarAnnualDegradation,asteroidMaxSunDistance,earthSolarRadiation,solarThermalEfficiency,solarThermalEnergyDensity,processVolumeFactor,processMassFactor,processMaterialDensity,processMaterialThickness,elecHydrogenEnergy,elecPower,elecMass,waterFilterMass,waterFilterPower,waterFilterLoss,cryocoolerMass,cryocoolerPower,cryocoolerRDCost,cryocoolerTFUCost,deltaVtoAsteroid,deltaVtoEML1,asteroidPropellantRatio,dryMassGuess,spacecraftBasePower,batteryTime,batteryDensity,cdhMass,mliDensity,radiatorDensity,radiationPower,radiationRejectionTemperature,spacecraftSAFactor,structureDryMassFactor,gncMass,tankMaterialThickness,engineMass,commMass,attMass,spacecraftDryMassFactor,dryMassMargin,cerStructureA1,cerStructureE1,cerEPSA1,cerEPSA2,cerEPSE1,cerDryMassA1,cerIATA0,cerIATA1,cerProgramA1,cerProgramE1,cerTFUDryMassA1,cerTFUIATA1,cerTFUProgramA1,cerTFUTRLFactor,cerTfuEPSA1,cerTfuEPSE1,launchPrice,roundTrips,processSolarPanelHeatRatio,processTime,processNumBatch,engineISP,electrolysis,propTankDensity,tankNumber,tankPressurantMassFactor,tankVolumeFactor,propDensity,cryocooler,waterFilter,totalPropellant,launchedPropellant,asteroidWaterNeeded,netPropellant,massPropToAsteroid,massPropToEML1,excavationSystemSA,excavationVolume,excavationMass,regolithNeeded,totalExcavationTime,waterPerBatch,reactionEnergy,processingVolume,processSystemSA,totalProcessingMass,powerPerBatch,totalPowerMass,totalEnergyPerBatch,totalProcessingTime,processContainerMass,baseSolarPanelMass,batteryMass,costPower1Rd,costPower2Rd,costPowerRd,costPowerTfu,propVolume,tankSA,massTank,massEngine,massGNC,spacecraftSurfaceArea,massMLI,thermalLoad,radiatorArea,massRadiator,massAtt,massComms,massCDH,timeElectrolysis,massElectrolysis,powerElec,elecPowerMass,waterFilterPowerMass,massWaterFilter,totalPayloadMass,totalStayDays,dryMass,netProp,launchMass,percentPropSold,structureMass,costStructureRd,rdte_costCer_spacecraft,rdte_costCer_iatX1,rdte_costCer_iat,rdte_costCer_programLevelCostCER,rdte_costCer_totalCost,tfu_costCer_spacecraft,tfu_costCer_iatX1,tfu_costCer_iat,tfu_costCer_programX1,tfu_costCer_programLevelCostCER,tfu_costCer_totalCost,totalCost,costPerKgWater,launchCost,costLaunchAndTFU,soldProp,recoverySalePrice
0,800.0,3.0,0.167,1480.0,2257.0,0.00379,9.1,4.7,15.83,1.13,cylinder,0.92,1249.0,311.0,579.0,1109.0,0.91,0.07,4.0,1.37,1360.8,0.57,7.0,4.8,0.3,2076.0,0.00258,50.1,1.02,38.5,0,0,0,0,0,0,0,2.6,1.0,1.0,400.0,1.06,6.26,103.9,10.4,0.71,3.78,3.78,312.7,0.31,0.238,23.3,0.00376,33.5,25.0,62.9,3.19,0.14,155.0,0.834,63.6,2.68,0.703,87.3,872.4,0.208,2.045,0.832,38.2,9.05,0.348,1.2,109.8,0.765,18.6,5.0,0.0,4.0,5.4,211.0,0.0,1400.0,1.0,1.22,4.8,1.02,0.0,0.0,1800.8243236945202,1050.7749523000573,1550.049371394463,-250.7749523000573,1051.0,750.0,3.6670358821206834,0.69,51.0,9282.0,8.37,31.54353625141357,1941275.3442185153,0.03194444444444444,0.4832495560965353,3.88,6.605,3.11,2282701.98,196.56,0.78,0.15740964536313665,63.86525505293551,4071.8414748117934,51.972958683764276,4123.814433495558,2645.1338656899325,1765.514042837765,0.39714659671509617,2.5505072158320847,33.5,23.3,1.4097039308290178,1.0008897908886025,3.78,6.972639566105927,26.3565775598804,62.9,25.0,10.4,0,0,0,0,0.0,0.0,54.88,197.48,418.78886090703185,-251.0,1469.5638132070892,-0.31375,99.67174889587358,7196.822836049117,47880.904826728554,47880.904826728554,10831.628203959539,16017.265948406322,127004.0,15997.734486648618,418.78886090703185,3790.0391912086384,19787.773677857258,6886.145239894326,59794.0,186797.0,233.49625,27333.886925651863,87127.88692565187,-204.0,-427.097484929666
0,800.0,3.0,0.165,1688.0,1843.0,0.00406,9.8,4.5,9.46,1.13,square,1.18,1292.0,317.0,567.0,1078.0,0.9,0.065,3.93,1.36,1360.8,0.52,1.4,4.3,0.3,1400.0,0.004,52.3,0.94,41.0,0,0,0,0,0,0,0,2.56,2.3,1.0,400.0,1.138,6.01,70.0,10.2,0.75,3.34,3.34,315.0,0.32,0.221,23.9,0.00586,36.4,25.0,55.5,3.51,0.2,158.0,0.837,62.0,2.8,0.72,79.9,850.0,0.224,1.801,0.836,47.8,9.11,0.445,1.15,107.7,0.78,22.5,2.0,0.0,3.6,4.7,219.0,0.0,1903.0,1.0,1.22,4.4,1.02,0.0,0.0,3747.7395283685946,1207.206938173392,3340.5325901952024,-407.206938173392,1207.0,2541.0,5.148744578925968,1.22,53.0,20246.0,11.56,72.5256749933826,4338661.35642988,0.07210401891252954,0.7449173739106459,42.14,16.094,40.89,5005952.99,165.82,1.25,0.15430146993452032,97.70542857142857,6067.303262564512,83.33268011123936,6150.635942675751,3844.9158010622505,3674.2544395770533,0.2851431440717975,3.8793518307331745,36.4,23.9,1.9772176310106917,1.4829132232580187,3.34,5.9830301691921655,19.983320765101833,55.5,25.0,10.2,0,0,0,0,0.0,0.0,95.14,167.0,524.8396938377082,-407.0,1732.0466320111002,-0.50875,115.98957233813351,8444.535110353208,56529.86259066184,56529.86259066184,13512.689220308252,16920.6897352171,147795.0,25087.33736544245,524.8396938377082,4781.289610861521,29868.62697630397,13291.539004455268,91868.0,239663.0,299.57875,38971.049220249755,130839.04922024976,393.0,332.9237893645032
0,800.0,3.0,0.155,1767.0,1648.0,0.00337,8.3,4.8,4.62,1.12,square,1.31,1400.0,323.0,604.0,972.0,0.94,0.057,3.92,1.17,1360.8,0.66,1.6,4.9,0.3,2116.0,0.00361,48.2,0.98,35.2,0,0,0,0,0,0,0,2.61,2.52,1.0,400.0,1.214,5.82,100.8,9.6,0.72,3.5,3.5,315.9,0.3,0.199,24.8,0.00502,39.3,27.0,65.0,3.63,0.13,140.0,0.823,62.5,2.58,0.706,118.1,1005.8,0.217,1.991,0.874,58.3,9.99,0.349,1.24,121.0,0.739,15.2,5.0,0.0,3.6,4.5,211.0,0.0,2252.0,1.0,1.17,4.9,1.03,0.0,0.0,4132.994813866903,1147.2354560036395,3785.759357863264,-347.23545600363946,1147.0,2986.0,6.743919025102241,1.67,47.0,24424.0,10.87,101.35901895216234,5467312.232047824,0.10308641975308641,1.0772844334780782,30.08,21.299,27.61,6624950.98,134.46,2.47,0.10679877781066782,70.09404761904763,4387.552899803643,59.510801129734794,4447.063700933379,2800.479292677719,4012.6163241426243,0.30835680335785376,4.078603615592225,39.3,24.8,2.4388680785814514,1.755985016578645,3.5,6.198498234431833,21.694743820511416,65.0,27.0,9.6,0,0,0,0,0.0,0.0,77.08,135.77,452.5380276910395,-347.0,1599.7734836946788,-0.43375,90.05506751051686,5684.447347678616,63576.25211892375,63576.25211892375,14801.846709806454,31416.00968009668,186596.0,26382.9670143876,452.5380276910395,4520.854896633485,30903.821911021085,10785.433846946358,93757.0,280353.0,350.44125,24316.556952159117,118073.55695215912,-588.0,-200.80536896625702
0,800.0,3.0,0.11,1720.0,2093.0,0.00393,8.6,4.3,6.73,1.18,square,0.88,1188.0,318.0,602.0,1020.0,0.92,0.066,3.91,1.26,1360.8,0.72,2.0,4.6,0.3,1400.0,0.00318,51.2,0.98,36.7,0,0,0,0,0,0,0,2.33,2.46,1.0,400.0,1.106,6.77,105.1,9.7,0.77,3.42,3.42,314.3,0.3,0.243,20.9,0.0066,45.8,25.0,61.3,3.76,0.07,160.0,0.839,62.5,2.24,0.715,79.3,1036.5,0.231,2.079,0.843,46.5,9.19,0.301,1.24,112.6,0.718,16.9,6.0,0.0,3.5,4.0,220.0,0.0,1937.0,1.0,1.15,4.3,1.1,0.0,0.0,3665.0344947023686,935.4498137540884,3529.58468094828,-135.44981375408838,935.0,2730.0,7.205616384708504,2.17,77.0,32087.0,7.57,102.60420584151977,5807785.23631244,0.155,1.327330163416324,27.54,23.368,25.76,7066610.48,120.4,1.77,0.13061876482074383,71.24281636536632,4460.839695636691,50.91099708193655,4511.750692718628,2412.0020294940005,3331.849540638517,0.28789889310284345,4.232640583586177,45.8,20.9,2.6462536323683015,2.037615296923592,3.42,6.181096488500342,21.139349990671167,61.3,25.0,9.7,0,0,0,0,0.0,0.0,104.53999999999999,121.28,480.58825283479615,-135.0,1416.0380665888845,-0.16875,116.78294543885546,8682.63050833991,51305.02965085787,51305.02965085787,12887.961849348168,19432.08140853539,142121.0,22347.35375681802,480.58825283479615,4416.606043551777,26763.959800369797,8055.951899911309,78462.0,220583.0,275.72875,23931.043325352144,102393.04332535215,125.0,819.1443466028172
0,800.0,3.0,0.161,1676.0,1696.0,0.00397,7.7,4.4,5.22,1.3,square,0.9,842.0,284.0,601.0,984.0,0.94,0.067,4.04,1.35,1360.8,0.74,1.8,5.2,0.3,2060.0,0.00379,52.3,0.96,38.3,0,0,0,0,0,0,0,2.13,2.55,1.0,400.0,1.185,4.83,98.4,9.8,0.81,3.55,3.55,315.7,0.31,0.24,23.4,0.00492,40.6,25.0,44.7,3.87,0.24,159.0,0.83,63.3,2.77,0.718,100.7,901.6,0.266,1.937,0.92,41.1,7.0,0.313,1.2,114.8,0.768,11.6,5.0,0.0,3.8,5.8,207.0,0.0,1941.0,1.0,1.28,4.8,1.02,0.0,0.0,4069.58797945893,882.0129853495466,3987.574994109383,-82.01298534954663,882.0,3188.0,6.795136346640084,1.92,65.0,24768.0,6.93,89.28739350894276,4875626.815360691,0.08711433756805807,1.0218718509136657,26.29,17.465,23.9,5734188.63,169.71,2.39,0.16375326658523778,58.166158536585364,3692.283417140699,57.98551413056948,3750.2689312712682,2607.0323583328177,3989.792136724441,0.3026387124960951,3.6993471558377076,40.6,23.4,2.5170905421154517,2.038843339113516,3.55,6.302995057790703,22.375632455156996,44.7,25.0,9.8,0,0,0,0,0.0,0.0,91.28999999999999,170.61,475.4259274348526,-82.0,1357.4389127843992,-0.1025,114.10222258436463,8108.699957227386,59734.359781188316,59734.359781188316,16790.93970179609,48001.62027288435,211634.0,19540.005617572442,475.4259274348526,3327.9814920439685,22867.98710961641,7157.679965309936,66551.0,278186.0,347.7325,15746.29138829903,82297.29138829903,472.0,174.35866819554877
0,800.0,3.0,0.119,1782.0,2067.0,0.00295,7.7,4.5,5.44,1.2,square,1.07,1121.0,297.0,607.0,1026.0,0.89,0.063,3.97,1.38,1360.8,0.71,3.2,4.5,0.3,1827.0,0.0038,52.5,1.04,33.2,0,0,0,0,0,0,0,2.35,2.29,1.0,400.0,1.026,5.61,101.6,10.3,0.7,3.63,3.63,317.2,0.29,0.215,28.3,0.00444,29.3,25.0,59.0,3.47,0.19,160.0,0.798,61.8,2.66,0.716,101.1,1018.8,0.239,1.853,0.754,40.4,11.92,0.324,1.16,107.6,0.78,18.5,4.0,0.0,2.5,4.6,221.0,0.0,2104.0,1.0,1.17,5.0,1.06,0.0,0.0,3217.739862918626,876.6873223299476,3141.0525405886783,-76.68732232994762,877.0,2341.0,6.960371021357487,1.92,56.0,26395.0,8.24,88.68019595112023,5049160.990335702,0.16695652173913045,1.3644200918396794,27.06,28.891,24.22,6240398.19,88.55,2.84,0.13900335944295217,56.65216535433072,3509.694226511213,48.85715839681843,3558.551384908031,2512.7616786756766,3035.6036442628547,0.3453199339413788,3.7742982569325716,29.3,28.3,2.514332203670178,1.7600325425691246,3.63,6.323985297233157,22.956066628956357,59.0,25.0,10.3,0,0,0,0,0.0,0.0,83.06,89.61999999999999,449.93940042983553,-77.0,1326.6267227597832,-0.09625,96.73697109241463,6146.427819101327,55193.85258746573,55193.85258746573,14210.130768404308,6970.4531756176775,129799.0,18177.551777365356,449.93940042983553,5363.2776531236395,23540.829430488993,7627.228735478434,66399.0,196198.0,245.2475,24542.594371055988,90941.59437105598,569.0,159.82705513366605
0,800.0,3.0,0.127,1735.0,1804.0,0.00398,9.2,4.4,13.95,1.13,cylinder,1.46,1280.0,291.0,590.0,944.0,0.92,0.078,3.48,1.22,1360.8,0.5,1.8,4.6,0.3,1892.0,0.00342,55.5,1.3,33.6,0,0,0,0,0,0,0,2.62,2.44,1.0,400.0,1.001,6.83,104.8,10.5,0.81,3.56,3.56,313.7,0.27,0.217,31.5,0.0058,38.7,25.0,43.0,4.02,0.17,159.0,0.827,60.2,2.57,0.68,100.9,981.6,0.205,2.105,0.786,57.1,8.86,0.399,1.22,121.3,0.711,12.3,3.0,0.0,3.1,5.4,216.0,0.0,2294.0,1.0,1.19,4.9,1.01,0.0,0.0,3924.7417232731177,1163.0655714543113,3561.6761518188064,-363.06557145431134,1163.0,2762.0,6.40660984989179,1.76,66.0,28045.0,13.43,71.69235410263298,3755692.689949252,0.1051373954599761,1.024698202675045,32.38,18.378,30.39,4922364.69,154.01,1.99,0.12923983706083592,65.23692748091602,3935.043272542207,44.1233370258876,3979.1666095680944,2369.06403106649,3885.8828943298195,0.31167323627694804,4.9347809445413375,38.7,31.5,2.090604947987822,1.6933900078701358,3.56,6.483490282961822,23.081225407344085,43.0,25.0,10.5,0,0,0,0,0.0,0.0,98.38,155.47,474.56976682101487,-363.0,1637.6353382753261,-0.45375,102.98163940016022,7344.284295204553,59207.54037701305,59207.54037701305,13119.145777287675,11866.986211607842,143088.0,27097.93368547995,474.56976682101487,4204.6881340341915,31302.62181951414,12489.746105986143,95711.0,238799.0,298.49875,20142.91466078651,115853.91466078651,74.0,1565.5934413619798
0,800.0,3.0,0.197,1804.0,1965.0,0.00316,8.0,4.8,10.91,1.1,square,0.81,1203.0,323.0,578.0,1012.0,0.92,0.062,3.63,1.36,1360.8,0.59,2.1,4.4,0.3,1856.0,0.00404,54.7,1.3,28.1,0,0,0,0,0,0,0,1.55,2.46,1.0,400.0,1.279,6.28,105.7,8.6,0.77,3.96,3.96,317.0,0.27,0.192,22.5,0.00372,35.7,25.0,57.3,4.08,0.16,159.0,0.838,61.2,2.61,0.706,97.8,858.6,0.218,1.927,0.821,50.7,7.65,0.31,1.17,110.2,0.766,12.1,6.0,0.0,2.7,4.7,210.0,0.0,1933.0,1.0,1.1,4.4,0.99,0.0,0.0,3444.92108711561,528.894176246457,3716.026910869153,271.10582375354295,529.0,2916.0,5.738062928122136,1.31,50.0,18863.0,6.48,98.83050294864769,5550303.495229271,0.10323089046493301,0.9682610431181815,42.32,26.893,40.15,6273617.02,101.52,2.18,0.16387566753446164,75.98978240302743,4660.603873918388,66.15532314198427,4726.759197060372,3044.785649720078,3479.7182698137476,0.29036079848411783,2.296706296838421,35.7,22.5,1.8891048878255976,1.4546107636257102,3.96,6.916319990880916,27.388627163888426,57.3,25.0,8.6,0,0,0,0,0.0,0.0,92.32,102.33,471.46079030272426,271.0,1000.3549665491813,0.33875,90.52047173812306,6936.668653773303,57772.2931424401,57772.2931424401,13452.959905051943,15640.603675451506,147629.0,23903.06206834812,471.46079030272426,3606.675045815841,27509.737114163963,8528.018505390828,77713.0,225342.0,281.6775,12104.295095245094,89817.29509524509,2155.0,41.67855920893044
0,800.0,3.0,0.119,1680.0,2185.0,0.00283,8.9,4.3,11.46,1.35,square,1.33,1028.0,317.0,626.0,986.0,0.93,0.07,3.47,1.34,1360.8,0.51,2.5,4.3,0.3,1709.0,0.00394,53.8,0.94,31.6,0,0,0,0,0,0,0,2.56,2.47,1.0,400.0,1.127,4.95,108.6,10.3,0.72,3.52,3.52,319.0,0.3,0.243,20.7,0.0044,33.1,25.0,57.3,3.23,0.15,159.0,0.85,64.9,3.03,0.721,89.4,1015.9,0.206,1.598,0.8,40.4,11.69,0.32,1.24,112.2,0.715,15.2,3.0,0.0,3.9,4.5,207.0,0.0,2275.0,1.0,1.23,4.3,0.99,0.0,0.0,4115.461331609768,1141.6699801798868,3773.7913514298816,-341.6699801798868,1142.0,2974.0,7.0983304340642475,2.12,71.0,31713.0,11.84,94.2270000357024,5155816.983085603,0.1207977207977208,1.0507698807049888,28.4,18.66,26.28,6287693.15,156.2,2.12,0.15748697247738214,51.36878453038675,3344.0550205358822,56.65685682749747,3400.7118773633797,1879.72098552438,4157.031648090675,0.26742828872732477,3.2926573192974407,33.1,20.7,2.5249585810489683,1.817970178355257,3.52,5.995106083578602,21.10277341419668,57.3,25.0,10.3,0,0,0,0,0.0,0.0,99.4,157.53,450.6907636736958,-342.0,1592.3607438535826,-0.4275,109.51785557270809,8609.130995825588,52301.59714561737,52301.59714561737,11790.029011997178,9514.56058659846,125094.0,18207.90685241731,450.6907636736958,5268.575027345504,23476.481879762814,7512.474201524101,69267.0,194361.0,242.95125,24203.883306574455,93470.88330657445,116.0,805.7834767808142
0,800.0,3.0,0.129,1654.0,2098.0,0.00283,7.2,4.5,9.61,1.17,cylinder,1.0,1136.0,295.0,614.0,1059.0,0.91,0.07,4.02,1.28,1360.8,0.58,1.5,4.5,0.3,1885.0,0.00214,51.2,1.07,37.3,0,0,0,0,0,0,0,2.43,2.55,1.0,400.0,0.993,6.16,91.6,9.4,0.73,3.45,3.45,316.0,0.32,0.223,23.3,0.00411,41.4,25.0,49.5,3.17,0.12,160.0,0.85,60.9,2.95,0.695,85.9,992.8,0.212,2.059,0.7,51.4,8.68,0.443,1.16,114.4,0.767,13.0,6.0,0.0,2.6,5.4,197.0,0.0,1913.0,1.0,1.12,5.0,0.99,0.0,0.0,4916.393981025905,1305.3915407550865,4411.002440270819,-505.39154075508645,1305.0,3611.0,9.090733042452396,2.87,73.0,34194.0,7.2,113.45170885470212,6667334.0553346025,0.2044159544159544,1.5615493230745465,72.21,37.341,70.32,8388356.07,101.09,1.89,0.12880270714416617,66.77816593886463,4074.6343905419353,54.50098288597154,4129.135373427906,2874.501587168633,4966.054526288794,0.2930664991357163,2.5807206149755855,41.4,23.3,3.5025116366920503,2.5568334947851965,3.45,6.10221781841425,21.052651473529163,49.5,25.0,9.4,0,0,0,0,0.0,0.0,145.20999999999998,102.09,519.6163349899481,-505.0,1825.0078757450347,-0.63125,115.87444270275843,9088.861642473914,57853.04019153836,57853.04019153836,13257.644520606133,4438.995215587116,128397.0,26708.27961848333,519.6163349899481,4510.269787712749,31218.54940619608,13829.817386944864,94476.0,222874.0,278.5925,23725.10238468545,118201.10238468545,-1725.0,-68.52237819402055
